"id","question_id","answer_id","value","created_at","updated_at"
"253","51","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"254","51","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"255","51","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"256","51","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"257","51","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"258","52","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"259","52","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"260","52","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"261","52","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"262","52","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"263","52","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"264","53","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"265","53","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"266","53","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"267","53","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"268","53","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"269","53","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"270","54","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"271","54","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"272","54","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"273","54","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"274","54","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"275","55","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"276","55","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"277","55","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"278","55","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"279","55","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"280","56","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"281","56","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"282","56","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"283","56","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"284","56","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"285","57","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"286","57","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"287","57","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"288","57","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"289","57","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"290","58","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"291","58","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
